"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1930-03-03T06:00:00.000Z","23.36","24.85","23.36","24.15","3.74","3.11","0"
"1930-04-01T06:00:00.000Z","25.37","25.92","24.73","24.90","3.11","2.48","0"
"1930-05-01T05:00:00.000Z","24.30","24.57","22.98","24.49","-1.65","-2.27","0"
"1930-06-02T05:00:00.000Z","24.40","24.40","19.39","20.46","-16.46","-17.08","0"
"1930-07-01T05:00:00.000Z","20.24","21.82","19.83","21.21","3.67","3.04","0"
"1930-08-01T05:00:00.000Z","21.11","21.52","19.88","21.37","0.75","0.13","0"
"1930-09-02T05:00:00.000Z","21.38","21.86","18.59","18.59","-13.01","-13.63","0"
"1930-10-01T06:00:00.000Z","19.42","19.42","16.90","16.94","-8.88","-9.50","0"
"1930-11-03T06:00:00.000Z","17.13","17.20","15.54","16.38","-3.31","-3.93","0"
"1930-12-01T06:00:00.000Z","16.80","16.96","14.44","15.34","-6.35","-6.97","0"
"1931-01-02T06:00:00.000Z","15.85","16.42","15.09","16.19","5.54","4.92","0"
"1931-02-02T06:00:00.000Z","16.16","18.17","16.16","18.03","11.37","10.74","0"
"1931-03-02T06:00:00.000Z","17.52","18.06","16.66","16.69","-7.43","-8.05","0"
"1931-04-01T06:00:00.000Z","16.52","16.72","14.37","15.09","-9.59","-10.21","0"
"1931-05-01T05:00:00.000Z","14.65","15.44","13.02","13.02","-13.72","-14.34","0"
"1931-06-01T05:00:00.000Z","12.40","15.35","12.20","14.83","13.90","13.28","0"
"1931-07-01T05:00:00.000Z","15.07","15.26","13.73","13.73","-7.42","-8.04","0"
"1931-08-03T05:00:00.000Z","13.93","14.29","13.55","13.86","0.95","0.32","0"
"1931-09-01T05:00:00.000Z","13.92","13.92","9.71","9.71","-29.94","-30.57","0"
"1931-10-01T06:00:00.000Z","9.53","10.96","8.82","10.43","7.42","6.79","0"
"1931-11-02T06:00:00.000Z","10.50","11.52","9.31","9.50","-8.92","-9.54","0"
"1931-12-01T06:00:00.000Z","9.38","9.38","7.72","8.12","-14.53","-15.15","0"
"1932-01-04T06:00:00.000Z","7.56","8.92","7.55","7.94","-2.22","-2.84","0"
"1932-02-01T06:00:00.000Z","8.23","8.84","7.50","8.29","4.41","3.79","0"
"1932-03-01T06:00:00.000Z","8.35","8.98","7.31","7.31","-11.82","-12.44","0"
"1932-04-01T06:00:00.000Z","7.18","7.18","5.83","5.83","-20.25","-20.87","0"
"1932-05-02T05:00:00.000Z","5.74","6.09","4.47","4.47","-23.33","-23.95","0"
"1932-06-01T05:00:00.000Z","4.40","5.12","4.40","4.43","-0.89","-1.52","0"
"1932-07-01T05:00:00.000Z","4.60","6.03","4.41","6.03","36.12","35.49","0"
"1932-08-01T05:00:00.000Z","6.11","8.58","5.87","8.39","39.14","38.51","0"
"1932-09-01T05:00:00.000Z","8.47","9.31","7.34","8.08","-3.69","-4.32","0"
"1932-10-03T06:00:00.000Z","8.06","8.06","6.42","6.96","-13.86","-14.48","0"
"1932-11-01T06:00:00.000Z","6.76","7.68","6.48","6.55","-5.89","-6.51","0"
"1932-12-01T06:00:00.000Z","6.73","7.12","6.47","6.92","5.65","5.03","0"
"1933-01-03T06:00:00.000Z","6.83","7.34","6.83","6.94","0.29","-0.33","0"
"1933-02-01T06:00:00.000Z","6.67","6.76","5.53","5.66","-18.44","-19.07","0"
